   id    |                      position                      |        altitude         |         type          |               name               |  callsign   | player |         group_name          | coalition | heading | speed |         updated_at         | context | standard_identity | symbol_set | status | hqtf_dummy | amplifier | entity | entity_type | entity_sub_type | sector_one_modifier | sector_two_modifier 
---------+----------------------------------------------------+-------------------------+-----------------------+----------------------------------+-------------+--------+-----------------------------+-----------+---------+-------+----------------------------+---------+-------------------+------------+--------+------------+-----------+--------+-------------+-----------------+---------------------+---------------------
 1000208 | 0101000020E6100000B24C34768C984340D9315A62FE834640 |       46.61061096191406 | NASAMS_Command_Post   | SAM Site 1434977357 Command Post |             |        | SAM Site 1434977357         |         3 |       0 |     0 | 2023-05-23 03:30:56.392859 |       0 |                 0 |         15 |      0 |          0 |        31 |     20 |           8 |               0 |                   0 |                   0
      45 | 0101000020E6100000B4D1C4B3F69143406AF9ACF119854640 |       34.01103591918945 | Leopard-2             | VMFA224                          |             |        | VMFA224 Hangar              |         3 |     326 |     0 | 2023-05-22 22:24:50.418049 |       0 |                 0 |         15 |      0 |          0 |         0 |     12 |           2 |               0 |                   0 |                   0
      46 | 0101000020E6100000B570DA581B964340DE67ECD623844640 |       34.01103591918945 | Leopard-2             | VF103                            |             |        | VF103 Hangar                |         3 |     318 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 0 |         15 |      0 |          0 |         0 |     12 |           2 |               0 |                   0 |                   0
      47 | 0101000020E6100000BC50F41943914340ED6E4E6FF3844640 |       34.01103591918945 | Leopard-2             | VFA14                            |             |        | VFA14 Hangar                |         3 |     267 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 0 |         15 |      0 |          0 |         0 |     12 |           2 |               0 |                   0 |                   0
      49 | 0101000020E61000004A5602897DAE4240354FFEDF0F824640 |      43.001041412353516 | TACAN_beacon          | Anapa TCN                        |             |        | Anapa TCN                   |         3 |     176 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 0 |         10 |      0 |          0 |         0 |     11 |           0 |               0 |                   0 |                   0
      50 | 0101000020E61000002480128B8FFF42402FE26F09D57B4640 |      20.442094802856445 | TACAN_beacon          | Krymsk TCN                       |             |        | Krymsk TCN                  |         3 |     176 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 0 |         10 |      0 |          0 |         0 |     11 |           0 |               0 |                   0 |                   0
      51 | 0101000020E6100000F120D45BCB78434043DF8DE2EB8A4640 |      30.011030197143555 | TACAN_beacon          | Krasnodar-Center TCN             |             |        | Krasnodar-Center TCN        |         3 |     176 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 0 |         10 |      0 |          0 |         0 |     11 |           0 |               0 |                   0 |                   0
      52 | 0101000020E6100000E623492CF04C4640581EFB882EE54540 |      154.73854064941406 | TACAN_beacon          | Mozdok TCN                       |             |        | Mozdok TCN                  |         3 |     176 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 0 |         10 |      0 |          0 |         0 |     11 |           0 |               0 |                   0 |                   0
 1000001 | 0101000020E610000005FE59B910504240F6C1C3235D994640 |       41.74235534667969 | Mi-24P                | RangeCL10a#001-01                | Enfield11   |        | RangeCL10a#001              |         2 |      82 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 3 |          1 |      0 |          0 |         0 |     11 |           2 |               0 |                   1 |                   3
 1000002 | 0101000020E6100000528F71EC1350424061A4BD5645994640 |       41.74268341064453 | Mi-24P                | RangeCL10a#001-02                | Enfield12   |        | RangeCL10a#001              |         2 |      82 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 3 |          1 |      0 |          0 |         0 |     11 |           2 |               0 |                   1 |                   3
 1000003 | 0101000020E6100000C9DEF4D72D50424034486EB43A994640 |       41.74374771118164 | Mi-24P                | RangeCL10a#001-03                | Enfield13   |        | RangeCL10a#001              |         2 |      82 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 3 |          1 |      0 |          0 |         0 |     11 |           2 |               0 |                   1 |                   3
 1000004 | 0101000020E6100000B9D69CA62A5042401FD0548152994640 |       41.74287796020508 | Mi-24P                | RangeCL10a#001-04                | Enfield14   |        | RangeCL10a#001              |         2 |      82 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 3 |          1 |      0 |          0 |         0 |     11 |           2 |               0 |                   1 |                   3
 1000006 | 0101000020E6100000B9B9389F6D4F42406D917240059A4640 |      40.803558349609375 | Leopard-2             | RangeCL10b#001-01                |             |        | RangeCL10b#001              |         1 |       0 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 6 |         15 |      0 |          0 |         0 |     12 |           2 |               0 |                   0 |                   0
 1000007 | 0101000020E6100000D40ED86108504240E65A5CB50D9A4640 |       44.36716842651367 | Leopard-2             | RangeCL10b#001-02                |             |        | RangeCL10b#001              |         1 |       0 |     0 | 2023-05-22 22:24:50.41805  |       0 |                 6 |         15 |      0 |          0 |         0 |     12 |           2 |               0 |                   0 |                   0
